Name,Introduction Date,Introduction Year,CMOS Node[nm],Die Area[mm2],Throughput [Mhash/s],Throughput per Area[Mhash/(s*mm2)],Energy Efficiency[MH/J],CMOS Potential Throughput,CMOS Potential Throughput per Area,CMOS Potential Energy Efficiency
ASICMiner BE100,2012-12-28,2012,130,21.7156,336,15.4727477,167,11577188988,533127750.9,125220.7992
ASICMiner BE100,2012-12-28,2012,130,21.7156,392,18.05153899,125,18745448976,863225007.7,202672.1782
A3255,2013-08-01,2013,55,29.16,1500,51.44032922,625,46154604743,1582805375,1948702.864
A3255,2013-08-01,2013,55,29.16,1500,51.44032922,408,66872032705,2293279585,2820102.512
HashFast,2013-12-19,2013,28,324,422400,1303.703704,1538,1.95E+12,6009259259,231335436.4
BitForce SC,2013-02-08,2013,65,56.25,4200,74.66666667,350,80483989574,1430826481,2637813.289
BitForce SC,2013-02-08,2013,65,56.25,4000,71.11111111,313,86176603464,1532028506,2823479.145
A3256,2013-01-20,2013,110,20.25,1000,49.38271605,152,41907045351,2069483721,641154.7347
BF756C55,2013-06-14,2013,55,14.44,2675,185.2493075,1281,40895138376,2832073295,1727157.297
BF756C55,2013-06-14,2013,55,14.44,2700,186.9806094,1250,42114692603,2916529959,1778540.605
GoldStrike 1,2013-11-08,2013,28,100,126000,1260,1000,3.76E+12,37569357911,406999090.1
BM1380,2013-11-11,2013,55,11.999296,1600,133.341156,1500,22804932763,1900522561,964128.9964
BM1380,2013-11-11,2013,55,11.999296,2000,166.676445,1181,34084845796,2840570463,1440089.368
BM1380,2013-11-11,2013,55,11.999296,2500,208.3455563,886,53128713607,4427652556,2242270.827
BM1380,2013-11-11,2013,55,11.999296,2800,233.347023,758,67148065843,5596000452,2831698.98
SuperMiner2.0,2013-09-23,2013,55,8.25,1400,169.6969697,1075,27126734306,3288089007,1146561.188
A3233,2014-04-01,2014,40,29.16,7080,242.7983539,1333,92076700656,3157637197,5175151.963
A3233,2014-04-01,2014,40,29.16,7080,242.7983539,1124,1.07E+11,3662292851,5997287.821
BM1382,2014-04-01,2014,28,11.1,14180,1277.477477,1893,4.80E+11,43265097353,61916379.38
BM1382,2014-04-01,2014,28,11.1,17330,1561.261261,1425,6.84E+11,61590771205,87114039.81
Monarch,2014-08-21,2014,28,504,410000,813.4920635,1960.784314,3.54E+12,7023809524,387596899.2
Monarch,2014-08-21,2014,28,504,500000,992.0634921,1851.851852,3.54E+12,7023809524,387596899.2
Monarch,2014-08-21,2014,28,504,550000,1091.269841,1612.903226,3.54E+12,7023809524,387596899.2
Monarch,2014-08-21,2014,28,504,600000,1190.47619,1639.344262,3.54E+12,7023809524,387596899.2
Monarch,2014-08-21,2014,28,504,650000,1289.68254,1515.151515,3.54E+12,7023809524,387596899.2
Monarch,2014-08-21,2014,28,504,700000,1388.888889,1428.571429,3.54E+12,7023809524,387596899.2
Monarch,2014-08-21,2014,28,504,730000,1448.412698,1369.863014,3.54E+12,7023809524,387596899.2
Monarch,2014-08-21,2014,28,504,780000,1547.619048,1282.051282,3.54E+12,7023809524,387596899.2
RockerBox,2014-07-22,2014,28,115,174000,1513.043478,3164,2.05E+12,17853874946,242575866.8
RockerBox,2014-07-22,2014,28,115,190000,1652.173913,2941,2.31E+12,20077410376,269127725.4
RockerBox,2014-07-22,2014,28,115,212000,1843.478261,2356,2.94E+12,25561174814,331664014
DigBig,2014-03-30,2014,40,30,15625,520.8333333,1053,2.25E+11,7497962156,12548933.44
A3222,2014-09-01,2014,28,44.89,25000,556.916908,2500,5.93E+11,13205488402,75931549.1
A3222,2014-09-01,2014,28,44.89,25000,556.916908,1667,7.96E+11,17742843653,100837465.9
BM1384,2014-09-01,2014,28,14.0625,8250,586.6666667,4009,1.87E+11,13319048428,24565479.28
BM1384,2014-09-01,2014,28,14.0625,15125,1075.555556,2823,3.76E+11,26750410971,48794167.31
BM1384,2014-09-01,2014,28,14.0625,22000,1564.444444,2234,5.86E+11,41685738291,75116126.78
SF3301,2015-03-10,2015,28,111.0912,36000,324.0580712,3279,6.35E+11,5711952448,81084616.84
SF3301,2015-03-10,2015,28,111.0912,100000,900.1613089,1866,2.01E+12,18137211876,238535449.6
SF3301,2015-03-10,2015,28,111.0912,72000,648.1161424,3093,1.10E+12,9877627983,136584331.1
SF3301,2015-03-10,2015,28,111.0912,152000,1368.24519,1563,3.11E+12,28001187251,347951067.7
BM1387,2016-09-01,2016,16,12,111000,9250,10204.08163,1.91E+12,1.59E+11,392417754.2
BitFury 16nm,2015-12-16,2015,16,25,100000,4000,16666.66667,1.37E+12,54906961007,287356138.8
A3212,2016-03-01,2016,16,36,83000,2305.555556,6250,1.77E+12,49166666667,365096750.6
